university_id,school,subs
764,Other,10272
30,Touro College of Osteopathic Medicine,2015
10,Lake Erie College of Osteopathic Medicine,1691
34,Philadelphia College of Osteopathic Medicine,1465
490,St. George's University School of Medicine,1440
32,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,1393
203,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,1365
391,Texas Tech University Health Sciences Center School of Medicine,1119
530,Ross University School of Medicine,1041
193,Saint Louis University School of Medicine,1035
51,University of Arkansas for Medical Sciences College of Medicine,834
4,Midwestern University Arizona College of Osteopathic Medicine,796
13,Des Moines University College of Osteopathic Medicine,775
98,Indiana University School of Medicine,759
22,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,745
8,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,722
440,Washington State University Elson S. Floyd College of Medicine,717
289,University of Puerto Rico School of Medicine,708
228,Albany Medical College,701
2672,New York Medical College,681
267,University of Oklahoma College of Medicine,681
47,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,676
181,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,661
382,University of Tennessee Health Science Center College of Medicine,658
14,Idaho College of Osteopathic Medicine,652
74,Georgetown University School of Medicine,616
286,Ponce School of Medicine,612
9,Rocky Vista University College of Osteopathic Medicine,609
538,American University of Antigua,565
15,Midwestern University Chicago College of Osteopathic Medicine,549
72,Yale School of Medicine,547
43,Edward Via College of Osteopathic Medicine,545
197,University of Mississippi School of Medicine,511
392,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,508
11,Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,504
31,Ohio University Heritage College of Osteopathic Medicine,503
474,West Virginia University School of Medicine,480
29,New York Institute of Technology College of Osteopathic Medicine,479
227,"University of Nevada, Reno School of Medicine",476
132,University of Massachusetts T.H. Chan School of Medicine,472
2927,"American University of the Caribbean, School of Medicine",459
195,University of Missouri-Kansas City School of Medicine,447
473,Marshall University Joan C. Edwards School of Medicine,441
386,Baylor College of Medicine,441
97,University of Illinois College of Medicine,434
37,Lincoln Memorial University DeBusk College of Osteopathic Medicine,431
60,Loma Linda University School of Medicine,430
398,University of Utah School of Medicine,426
395,University of Texas Medical Branch School of Medicine,412
128,Tulane University School of Medicine,403
653,Kent State University College of Podiatric Medicine,396
46,West Virginia School of Osteopathic Medicine,392
131,Tufts University School of Medicine,380
439,University of Washington School of Medicine,377
20,Michigan State University College of Osteopathic Medicine,377
58,Kaiser Permanente Bernard J. Tyson School of Medicine,376
281,Sidney Kimmel Medical College at Thomas Jefferson University,367
82,University of Miami Leonard M. Miller School of Medicine,363
389,Texas A&M Health Science Center College of Medicine,359
192,University of Minnesota Medical School,357
275,Drexel University College of Medicine,341
397,University of Texas Southwestern Medical School,327
261,Northeast Ohio Medical University,326
126,Louisiana State University School of Medicine in New Orleans,325
188,Wayne State University School of Medicine,322
17,University of Pikeville Kentucky College of Osteopathic Medicine,317
39,University of North Texas Health Science Center Texas College of Osteopathic Medicine,306
21,A. T. Still University Kirksville College of Osteopathic Medicine,290
202,University of North Carolina at Chapel Hill School of Medicine,288
319,University of South Carolina School of Medicine Columbia,284
42,Rocky Vista University College of Osteopathic Medicine – Southern Utah Campus,278
83,USF Health Morsani College of Medicine,277
288,Universidad Central del Caribe School of Medicine,277
1,Alabama College of Osteopathic Medicine,274
95,Southern Illinois University School of Medicine,272
69,University of Colorado School of Medicine,271
64,"University of California, Irvine, School of Medicine",270
36,Edward Via College of Osteopathic Medicine – Carolinas Campus,268
85,Medical College of Georgia at Augusta University,265
92,Loyola University Chicago Stritch School of Medicine,265
91,Chicago Medical School at Rosalind Franklin University of Medicine & Science,263
24,Campbell University School of Osteopathic Medicine,263
305,University of Queensland School of Medicine,260
239,State University of New York Upstate Medical University,256
19,University of New England College of Osteopathic Medicine,254
380,East Tennessee State University James H. Quillen College of Medicine,254
73,George Washington University School of Medicine and Health Sciences,253
53,University of Arizona College of Medicine,249
262,Ohio State University College of Medicine,249
263,The University of Toledo College of Medicine and Life Sciences,246
318,Medical University of South Carolina College of Medicine,246
277,Lewis Katz School of Medicine at Temple University,236
5,A.T. Still University School of Osteopathic Medicine in Arizona,232
130,Harvard Medical School,232
2,Arkansas College of Osteopathic Medicine,232
234,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,226
753,Paracelsus Medizinische Privatuniversität,224
44,Liberty University College of Osteopathic Medicine (LUCOM),223
646,Universidad Autonoma de Guadalajara School of Medicine,219
320,University of South Carolina School of Medicine Greenville,215
387,McGovern Medical School at the University of Texas Health Science Center at Houston,215
26,Burrell College of Osteopathic Medicine at New Mexico State University,212
575,"St George's, University of London",208
433,Virginia Commonwealth University School of Medicine,206
